Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
"16,775,672,689.00 ",Heartland Institute,The Heartland Institute,149,2
"40,755,480,179.00 ",Students For Liberty,STUDENTS FOR LIBERTY INC,149,4
"108,620,667,163,768.00 ",For Our Future,Resource Media,148,169
"110,420,685,199,238.00 ",WeVision EarlyEd,Bainum Family Foundation,148,27
"546,066,468,753,446.00 ",Black Health Matters,BLACK HEALTH MATTERS FOUNDATION INC,148,5
"1,399,099,193,667,070.00 ",WP Creative Group,WP BrandStudio,148,2
"107,088,424,409,655.00 ",San Joaquin A+,San Joaquin A+,148,9
"129,255,907,131,113.00 ",NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,147,1
"342,887,442,508,723.00 ",Convention of States,Convention of States Action,147,2
"107,588,554,152,406.00 ",Tennessee Surveys,Harpeth Strategies,147,1
"290,851,614,930,809.00 ",Combat AntiSemitism,Combat Hate Foundation,147,6
"102,027,764,795,677.00 ",American Wire,BizPac Review,146,1
"190,198,574,334,684.00 ",FHE Health,THE FLORIDA HOUSE EXPERIENCE M,146,4
"361,088,970,643,071.00 ",Georgia Commute Options,Georgia Commute Options,146,1
"205,671,813,294.00 ",Mountain View Solar,"MOUNTAIN VIEW SOLAR AND WIND, LLC",146,5
"74,783,093,812.00 ",Just Vision,JUST VISION INC,146,3
"80,060,992,758.00 ",Center for Food Safety,"CENTER FOR FOOD SAFETY, THE",146,1
"85,252,863,415.00 ",National Latina Institute for Reproductive Justice,NATIONAL LATINA INSTITUTE FOR REPRODUCTIVE HEALTH,143,42
"105,399,362,148,431.00 ",Alliance for Quality Broadband Tennessee,Alliance for Quality Broadband,143,9
"27,817,332,304.00 ",American Foundation for Suicide Prevention,AMERICAN FOUNDATION FOR SUICIDE PREVENTION,143,2
"148,306,605,193,993.00 ",Blue Shield of California,BLUE SHIELD OF CALIFORNIA LIFE & HEALTH INSURANCE CO.,142,3
"102,306,992,590,354.00 ",I Stand With Kids,Opportunity 180,142,2
"35,715,544,220.00 ",Stand.earth,Stand.earth,141,12
"971,668,776,283,950.00 ",PolicyEd,HOOVER INSTITUTION,141,2
"77,688,524,017.00 ",Truman Library Institute,HARRY S TRUMAN LIBRARY INSTITUTE,140,10
"250,485,248,333,218.00 ",Clean Air Task Force,CLEAN AIR TASK FORCE,140,26
"10,331,123,781.00 ",Special Olympics,Special Olympics Inc,140,27
"30,618,466,815.00 ",Pacific Legal Foundation,Pacific Legal Foundation,140,3
"27,478,282,874.00 ",UNITE HERE!,UNITE HERE,140,60
"754,765,191,295,614.00 ",Town of Hempstead,Town of Hempstead,140,2
"110,981,884,065,996.00 ",Abortion Finder,Power to Decide,140,4
"101,795,648,776,370.00 ",Choose Plant Based,ANIMAL PROTECTION AND RESCUE,139,4
"638,058,836,837,442.00 ",Kansas Attorney General,Kansas Attorney General's Office,138,4
"367,243,942,817.00 ",Alaska Department of Environmental Conservation,Alaska Department of Environmental Conservation,137,3
"63,240,625,785.00 ",National Immigration Forum,NATIONAL IMMIGRATION FORUM,137,16
"259,351,004,139,042.00 ",Ashbrook Center,Ashbrook Center,136,48
"93,565,224,474.00 ",Mercy For Animals,MERCY FOR ANIMALS,136,10
"102,142,101,657,930.00 ",OurFight.online,Our Fight Inc,135,18
"97,624,620,788.00 ",American Friends of Magen David Adom,AMERICAN FRIENDS OF MAGEN DAVID ADOM,134,73
"113,091,218,713,548.00 ",Mass Alliance,"MASS ALLIANCE, INC.",134,2
"118,372,414,848,063.00 ",UN Women USA,UN Women USA,134,6
"100,882,959,392,755.00 ",Laura Dominguez for Miami Beach City Commission,Laura Alina Dominguez,133,4
"224,837,426,560.00 ",CONTRA COSTA SHERIFF-OFFICIAL PAGE,Bonneville International,133,1
"7,271,534,916.00 ",Foundation Fighting Blindness,These ads ran without a disclaimer,133,1
"28,446,275,521.00 ",Military Officers Association of America (MOAA),Military Officers Association of America,133,34
"372,353,822,835,252.00 ",Planned Parenthood of Greater Texas,Planned Parenthood of Greater Texas,132,6
"707,842,972,692,825.00 ",IAMJetBlue,James A. Carlson,131,4
"141,395,226,689.00 ",New York State Nurses Association,"NEW YORK STATE NURSES ASSOCIATION, THE",131,3
"105,599,502,191,866.00 ",Florida Jolt,"Jolt Media, Inc.",131,3
"100,168,566,232,753.00 ",IRS Helper,Leads Team LLC,130,9
"104,652,824,554,993.00 ",Horse Heaven Clean Energy Center,Horse Heaven Clean Energy Center (A Scout Clean Energy LLC Project),129,4
"304,905,122,888,875.00 ",Rocky Mountain Power,Rocky Mountain Power,128,4
"46,396,911,959.00 ",Bethany Christian Services,BETHANY CHRISTIAN SERVICE,127,5
"170,126,260,000,702.00 ",Western Journal US News,The Western Journal,127,27
"508,887,815,910,815.00 ",BPR,BizPac Review,127,1
"74,203,588,228.00 ",New Jersey Hall of Fame,New Jersey Hall of Fame,126,1
"100,983,515,068,287.00 ","Justice For Greenwood Foundation, Inc.",Justice for Greenwood Foundation Inc,126,8
"103,851,532,013,523.00 ",Policyfetch.com,Quantum Digital Media Inc,124,5
"170,591,064,699.00 ",Southern Poverty Law Center,"SOUTHERN POVERTY LAW CENTER, INC., THE",123,14
"280,146,908,725,511.00 ",Oklahoma Human Services,Oklahoma Department of Human Services,123,3
"100,852,168,406,193.00 ",Children's Health Defense - California Chapter,Childrens Health Defense,122,5
"148,048,225,348,895.00 ",Danielle D'Souza Gill,DDG Media LLC,122,4
"700,806,360,047,982.00 ",CFG Action,Club for Growth Action,122,20
"603,247,219,687,559.00 ",Buddy Carter,BUDDY CARTER FOR CONGRESS,122,4
"104,933,662,932,387.00 ",CreativeFuture,CreativeFuture,122,1
"305,730,296,471,268.00 ","Delegate Emily Brewer, 64th District",Friends of Emily Brewer,121,1
"107,553,188,401,159.00 ",Brandon Gill,The Boswell Project,121,2
"58,158,120,046.00 ",ACLJ,American Center for Law and Justice,121,14
"106,736,518,803,332.00 ",The Curry Solidarity Team,The Curry Solidarity Team,121,14
"102,047,517,918.00 ",The Commonwealth Fund,"COMMONWEALTH FUND, THE",121,17
"305,283,975,264.00 ",Pulmonary Hypertension Association,"PULMONARY HYPERTENSION ASSOCIATION, INC.",120,2
"100,145,644,726,687.00 ",Opportunity For All Floridians,Opportunity For All Floridians,119,9
"1,546,952,572,205,770.00 ",UAE USA United,The Embassy of the United Arab Emirates,119,9
"366,741,496,830.00 ",Southern California Edison (SCE),Southern California Edison,119,3
"100,519,772,749,954.00 ",Obamacare-Pride,Norwegian Financial LLC,119,8
"105,173,311,888,160.00 ",Star and Bar,Star and Bar,119,6
"184,896,887,706.00 ",OC Human Relations,ORANGE COUNTY HUMAN RELATIONS COUNCIL,119,3
"101,769,576,791.00 ",Health Action Network,Health Action Network,118,13
"105,193,084,652,235.00 ",BlackRock's Big Problem,BlackRock's Big Problem,118,3
"522,226,351,139,937.00 ",Archdiocese of Dubuque,"ARCHDIOCESE OF DUBUQUE, THE",117,1
"279,799,525,443,906.00 ",HELPS Nonprofit,HELPS Nonprofit Law Firm,117,3
"412,813,035,568,714.00 ",Opportunity Insurance,Opportunity Insurance,117,16
"2,210,227,865,866,860.00 ",Construction Industry Partnership,GROUP 7EVEN LLC,117,3
"106,608,038,931,801.00 ",Loyal Patriots,Loyal Patriots,117,4
"106,656,845,034,469.00 ",Smarter NY Energy,Smarter NY Energy,117,2
"131,023,707,236,064.00 ",Applecart,Project Applecart LLC,116,9
"659,229,570,848,902.00 ",Friends of Liberty State Park,Friends of Liberty State Park,116,1
"282,728,185,140,429.00 ",Rep For Vets,The Rep For Vets,116,1
"2,033,829,676,914,760.00 ",Ridgway White,CHARLES STEWART MOTT FOUNDATION,116,1
"876,319,055,750,124.00 ",Congressman Troy A. Carter,Troy Carter for Congress,115,1
"105,742,258,322,485.00 ",Clean Path New York,Clean Path New York LLC,115,2
"59,797,458,205.00 ",The Jimmie Hale Mission,JIMMIE HALE MISSION,114,5
"8,127,889,355.00 ",Americans for Tax Reform,AMERICANS FOR TAX REFORM,114,2
"103,819,978,219,698.00 ",Consumer Protection Rights,Sift Legal,114,3
"210,357,995,667,559.00 ",The National Memo,The National Memo,114,6
"900,716,556,617,557.00 ",Cortland County Health Department,COUNTY OF CORTLAND,113,11
"101,401,905,331,442.00 ",John Uustal - Trial Lawyer,Crisp,113,16
"104,051,454,769,090.00 ",Willow Village,Willow Village,113,7
"136,366,840,902.00 ",Levin Papantonio Rafferty Law Firm,Levin Papantonio Rafferty,111,4
"107,061,675,201,855.00 ",Homegrown Energy Indiana,Invenergy,111,2
"109,284,291,894,484.00 ",American News Stories,Michael Scott Hughes,111,3
"324,558,475,104,607.00 ",United We Dream Action,United We Dream Action,110,8
"105,975,318,453,101.00 ",LEADAmerica.org,Leadership to Ensure the American Dream,110,6
"491,362,440,908,122.00 ",The Beer Institute,BEER INSTITUTE,110,1
"718,695,571,507,724.00 ",Texans for Natural Gas,Texans for Natural Gas,110,4
"114,581,435,219,881.00 ",International March of the Living,INTL MARCH OF LIVING,109,2
"432,781,323,826,550.00 ",Good Reason Houston,GOOD REASON HOUSTON,109,22
"363,726,447,349,015.00 ",CIO Dive,These ads ran without a disclaimer,109,1
"28,126,338,304.00 ",Surfrider Foundation,"SURFRIDER FOUNDATION, INC",109,3
"109,807,380,879,969.00 ",Visit College Station,These ads ran without a disclaimer,108,3
"7,962,229,886.00 ",Environmental Working Group,ENVIRONMENTAL WORKING GROUP,108,28
"131,306,317,680,000.00 ",Social Goods,"Social Goods, LLC",108,4
"273,034,872,734,554.00 ","Massachusetts Unclaimed Property Division, State Treasurer Deborah Goldberg",MA State Treasurer’s Office – Unclaimed Property Division,107,6
"173,266,720,288,435.00 ",Galan Law Firm,Galan Law Firm PLLC,107,14
"146,918,864,568.00 ",Illinois Farm Bureau,ILLINOIS AGRICULTURAL ASSOCIATION,106,1
"102,113,962,612,618.00 ",Smart & Safe Florida,"Smart & Safe Florida - 1400 Village Square Blvd, Suite #3-321, Tallahassee, FL 32312.",106,3
"8,543,076,113.00 ",Los Angeles Public Library,Los Angeles Public Library,106,2
"574,251,066,047,657.00 ",CVIIC,Central Valley Immigrant Integration Collaborative,105,1
"115,625,901,135,975.00 ",NJ Doctors for Patient Safety,New Jersey State Society of Anesthesiologists,105,5
"557,051,651,115,624.00 ",Stidham Financial Services,Stidham Financial Services,105,2
"408,108,650,076.00 ",Groundwork Ohio,Groundwork Ohio,105,8
"181,924,628,560,212.00 ",SumOfUs,SumOfUs,104,3
"139,062,085,972.00 ",Illinois Family Institute,"ILLINOIS FAMILY INSTITUTE, THE INC",104,1
"14,084,625,156.00 ",Susan G. Komen,Susan G. Komen,104,8
"497,719,423,723,034.00 ",Planned Parenthood California Central Coast,Planned Parenthood California Central Coast,103,5
"126,929,400,651,134.00 ",Pennsylvania Health Access Network,PA HEALTH ACCESS NETWORK,103,2
"100,221,986,153,813.00 ",Lou's Daily News,Jennifer Ann Robertson,103,3
"123,397,377,677,195.00 ","School of International Service, AU","School of International Service, American University",103,2
"185,886,644,779,524.00 ",Public Service Commission of the District of Columbia,Public Service Commission of the District of Columbia,102,2
"103,277,109,172,874.00 ",The Original Lou's News,Jennifer Ann Robertson,102,4
"186,522,514,710,557.00 ",Americans for Prosperity -  Florida,AMERICANS FOR PROSPERITY,102,1
"106,559,805,163,436.00 ",Affordable American HealthCare,The Burial Solution,102,8
"629,062,130,882,339.00 ",Congressman Michael F.Q. San Nicolas - Guam,United States House of Representatives,102,1
"549,132,971,768,363.00 ",New York City District Council of Carpenters,New York City and Vicinity District Council of Carpenters,101,12
"103,708,395,108,213.00 ",Missouri Housing Development Commission,Missouri Housing Development Commission,101,2
"103,123,092,539,994.00 ",Solar-Gurus.com,Solar-Gurus.com,101,7
"69,611,504,313.00 ",Simon & Schuster,Simon and Schuster,≤100,10
"245,711,905,631,405.00 ",Jeff Jackson,JEFF JACKSON FOR CONGRESS,≤100,36
"248,181,906,078,243.00 ",National Institute for Civil Discourse,CommonSense American,≤100,20
"67,047,720,896.00 ",Extraordinary Women Ministries,"AMERICAN ASSOCIATION OF CHRISTIAN COUNSELORS, INC.",≤100,5
"226,999,127,329,906.00 ",New York Immigration Lawyer,Law Office of Alena Shautsova,≤100,2
"464,998,390,249,008.00 ",The Independence Fund,"INDEPENDENCE FUND, INC, THE",≤100,2
"141,169,844,763,069.00 ",US Cannabis Council,United States Cannabis Council,≤100,16
"398,821,303,519,625.00 ",Childhood Sexual Abuse Lawyers,"Corsiglia, McMahon & Allard",≤100,1
"224,919,598,920,494.00 ",All Things Downriver,Real Voices Media,≤100,12
"57,495,285,387.00 ",Michael Bennet,Bennet for Colorado,≤100,6
"1,479,899,112,252,720.00 ",Ukrainian American House,Ukrainian American House,≤100,25
"197,461,723,779,499.00 ","Vasquez Law Firm, PLLC - North Carolina",William Junior Vasquez,≤100,2
"100,692,068,471,118.00 ",Explain America,Apse Media LLC,≤100,8
"255,062,275,778.00 ",Tim Tebow Foundation,TIM TEBOW FOUNDATION,≤100,12
"140,471,979,488,965.00 ",Paul Bettencourt,Friends of Paul Bettencourt,≤100,3
"533,755,033,788,310.00 ",Hoosiers for Reliable Energy,Hooisers For Fair Energy & Fair Policy People,≤100,1
"345,378,512,258,813.00 ",Elise Stefanik,ELISE FOR CONGRESS,≤100,7
"2,361,139,837,508,620.00 ",Animal Victory,"One Red Lion, Inc DBA Animal Victory",≤100,2
"104,862,349,003,118.00 ",Black PA,Real Voices Media,≤100,4
"106,058,025,408,954.00 ",Do No Harm Medicine,Do No Harm,≤100,2
"115,869,895,234,716.00 ",West Central District Health Department,West Central District Health Department,≤100,5
"100,484,735,718,366.00 ",The Coalition for Carolina,Coalition for Carolina,≤100,1
"1,039,247,939,544,700.00 ",1440 Daily Digest,1440 Media LLC,≤100,5
"121,722,247,664.00 ",Planned Parenthood Keystone,PLANNED PARENTHOOD KEYSTONE,≤100,6
"1,571,132,936,490,220.00 ",JewBelong,JEWBELONG INC.,≤100,2
"103,839,369,105,886.00 ",Camp Lejeune Legal,Camp Lejeune Legal,≤100,5
"102,176,712,079,037.00 ",Daily Floridian,Daily Floridian,≤100,3
"349,800,859,019,034.00 ",The 19th News,The 19th,≤100,9
"112,453,648,114,196.00 ",Axton Solar,Axton Solar,≤100,4
"384,676,381,708,957.00 ",Education NC,Education NC,≤100,29
"151,894,654,697.00 ",Save Our States,Save Our States,≤100,11
"109,112,308,137,122.00 ",Smart Heat NJ,FMA NJ,≤100,15
"100,184,235,633,007.00 ",Summit Carbon Solutions,"Summit Carbon Solutions, LLC",≤100,20
"100,403,528,653,081.00 ",Punchbowl News,Punchbowl News,≤100,12
"291,141,624,664,794.00 ",Bright Body,Bright Body,≤100,3
"288,369,791,569.00 ",SEIU 721,SEIU Local 721,≤100,10
"821,877,231,206,475.00 ",Better with Bioheat Fuel,Empire State Energy Association,≤100,2
"265,584,563,563,176.00 ",JCRC of Greater Washington,The Jewish Community Relations Council of Greater Washington,≤100,3
"1,425,435,377,743,310.00 ",Conversations with Bill Kristol,FOUNDATION FOR CONSTITUTI,≤100,10
"141,774,129,212,238.00 ",Michigan Secretary of State's Office,Michigan Department of State,≤100,2
"17,364,823,283.00 ",SEIU Healthcare Michigan,SEIU HEALTHCARE,≤100,2
"100,283,489,546,710.00 ",Justice In The Classroom,Justice In The Classroom,≤100,1
"111,659,840,467,331.00 ",Cures for the Commonwealth,MASSACHUSETTS BIOTECHNOLOGY COUNCIL INC,≤100,3
"155,363,124,486,736.00 ",Steven Fulop,Election Fund of Steven Fulop 2021,≤100,1
"103,983,691,875,963.00 ",Building Healthy Families,CANAVAN FOUNDATION INC,≤100,3
"103,890,001,426,406.00 ",Invest In WA Now,Invest in Washington Now,≤100,2
"158,366,860,920,495.00 ",Community Action Fund of PPOSBC,Community Action Fund of Planned Parenthood of Orange and San Bernardino Counties,≤100,14
"103,725,461,407,761.00 ",Maryorie Pineda Insurance,JM INSURANCE GROUP LLC,≤100,19
"198,875,903,295.00 ",Trek Bicycle,TREK BICYCLE CORPORATION,≤100,2
"104,396,194,587,918.00 ",C3 Solutions,Conservative Coalition for Climate Solutions,≤100,4
"879,080,068,773,526.00 ",One City Schools,Michael Steven Caire,≤100,1
"1,476,342,155,924,540.00 ",Big Rig Threads,Big Rig T-Shirts and Decals LLC,≤100,5
"130,130,503,698,358.00 ",Eastern European Mission,EASTERN EUROPEAN MISSION,≤100,2
"51,057,276,745.00 ",Michigan Department of Health and Human Services,Michigan Department of Health and Human Services,≤100,1
"182,723,117,043.00 ",Chicago Council on Global Affairs,CHICAGO COUNCIL ON GLOBAL AFFAI,≤100,4
"95,483,488,591.00 ",Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,≤100,1
"2,085,198,731,562,100.00 ",Coalition to End Money Bond,Illinois Network for Pretrial Justice,≤100,8
"170,169,493,012,341.00 ",The Fund for Global Human Rights,FUND FOR GLOBAL HUMAN RIGHTS,≤100,10
"999,556,810,102,061.00 ",Signature Seas,Signature Seas,≤100,42
"56,661,991,371.00 ",Woods Hole Oceanographic Institution (WHOI),Woods Hole Oceanographic Institution,≤100,3
"56,332,452,163.00 ",AMA Patients Action Network,American Medical Association,≤100,4
"149,968,629,071,741.00 ",Lift to Rise,Lift To Rise,≤100,2
"126,893,748,252,841.00 ",American Firearms Association,American Firearms Coalition,≤100,7
"243,184,199,040,637.00 ",Caring Across Generations,Caring Across Generations,≤100,5
"261,559,490,603,159.00 ",World Relief Chicagoland,World Relief Chicagoland,≤100,1
"16,900,111,951.00 ",National Organization for Women (NOW),NATIONAL ORGANIZATION FOR WOMEN,≤100,12
"111,426,644,905,080.00 ",Maine Energy Progress,Maine Energy Progress,≤100,4
"2,390,004,754,407,420.00 ",Childcare Changemakers,Community Change Action,≤100,8
"110,340,578,206,767.00 ",Texans For Excellence in Education,Texans for Excellence in Education,≤100,3
"101,917,585,837,646.00 ",Protect Texas Kids,Protect Texas Kids,≤100,4
"106,887,465,438,852.00 ",Modern Economy Project,PRISM STRATEGY INC,≤100,3
"312,101,029,809.00 ",SMUD,Sacramento Municipal Utility District,≤100,5
"101,822,944,998,763.00 ",The Whistleblower,"Whistleblower Media Group, LLC",≤100,3
"698,400,060,189,827.00 ",Dan Sullivan,Alaskans for Sullivan,≤100,5
"115,499,369,778.00 ",Planned Parenthood North Central States,Planned Parenthood North Central States,≤100,5
"101,793,008,828,439.00 ",Mission: DFW,Mission DFW,≤100,10
"137,606,354,090.00 ",South Carolina Republican Party,SOUTH CAROLINA REPUBLICAN PARTY,≤100,7
"2,011,179,709,101,220.00 ",Planned Parenthood of Illinois,Planned Parenthood of Illinois,≤100,4
"66,006,644,809.00 ",County Supervisor Joe Simitian,Joe Simitian,≤100,6
"2,327,301,180,622,480.00 ",Voices for Non-Opioid Choices,Voices for Non-Opioid Choices,≤100,15
"311,536,622,860,495.00 ",SoCal Daily Pulse,SoCal Daily Pulse,≤100,14
"101,831,013,191,301.00 ",The California Coast,California Coastal Commission Public Education Program,≤100,1
"80,824,331,898.00 ",Robert F. Kennedy Human Rights,Robert F. Kennedy Human Rights,≤100,2
"222,909,321,977,696.00 ",Consumer Action Network,"Consumer Action Network, Inc.",≤100,16
"14,413,545,701.00 ",Conservation Law Foundation,"CONSERVATION LAW FOUNDATION, INC.",≤100,3
"121,739,911,215,381.00 ",City of New Iberia,Cox Media,≤100,6
"105,861,441,295,494.00 ",97Percent,97PERCENT ORG INC,≤100,7
"50,826,482,890.00 ",YWCA Seattle King Snohomish,YWCA OF SEATTLE-KING COUNTY-SNOHOMISH COUNTY,≤100,8
"222,990,002,457,055.00 ",Elect Larisa Svechin for Mayor of Sunny Isles Beach,Larisa Svechin for Mayor of Sunny Isles Beach,≤100,5
"113,341,457,791,145.00 ",Voices for Healthy Green Spaces,Voices for Healthy Green Spaces,≤100,10
"386,305,465,057,247.00 ",Liberty Nation,Liberty Nation,≤100,8
"147,781,045,791,179.00 ",Liberty Alliance,Liberty Alliance USA,≤100,15
"112,642,477,582,238.00 ",Mericanaf,AAF Nation,≤100,44
"74,470,852,653.00 ",Mike Pompeo,Champion American Values PAC,≤100,4
"107,166,732,102,060.00 ",Sen. Greg Tarver for Mayor,Tarver for Mayor,≤100,1
"2,078,647,579,047,580.00 ",Project Pulso,Project Pulso,≤100,2
"109,448,411,891,192.00 ",Consultoría espiritual Hallelujah,Consultoría espiritual Hallelujah,≤100,1
"305,859,026,094,125.00 ",Texas Latino Conservatives,Texas Latino Conservatives PAC,≤100,2
"1,975,385,292,744,780.00 ",United to End Homelessness,United to End Homelessness,≤100,6
"238,473,269,650,980.00 ",Capital & Main,CAPITAL & MAIN,≤100,6
"100,734,465,858,062.00 ",Kids First Kentucky,Kentucky Association of School Superintendents,≤100,5
"59,783,434,599.00 ",Hasbara Fellowships,HASBARA FELLOWSHIPS,≤100,51
"284,293,125,336,159.00 ",Regulatory Transparency Project,FEDERALIST SOCIETY FOR LAW & PUBLIC POLICY STUDIES,≤100,3
"104,015,742,220,554.00 ",Mimic,These ads ran without a disclaimer,≤100,1
"844,306,012,261,691.00 ",Generation Yonkers,The City of Yonkers,≤100,2
"356,673,385,110,161.00 ",KMD Law,KMD Law,≤100,1
"101,705,885,941,024.00 ",Dover Solar Project,Enel,≤100,2
"133,913,826,633,461.00 ",Grassroot Institute of Hawaii,Grassroot Institute of Hawaii,≤100,9
"197,343,920,324,209.00 ",Phoenix Law Enforcement Association,PHOENIX LAW ENFORCEMENT ASSOCIATION,≤100,5
"1,338,822,066,131,060.00 ",Women's March,Women's March,≤100,12
"102,691,761,020.00 ",Action for Children,"ACTION FOR CHILDREN, INC.",≤100,6
"102,230,249,080,409.00 ",Freedom First,Jason Donald Robertson,≤100,2
"116,387,351,057,286.00 ",American Experiment North Dakota,American Experiment North Dakota,≤100,12
"101,239,962,270,235.00 ",Bright Future Iowa,Bright Future Iowa,≤100,5
"103,452,279,103,881.00 ",Ambassador Gordon Sondland,Gilbert Lunsford Jr Eugene,≤100,3
"246,737,888,784,902.00 ",Filling in the Blanks,FILLING IN THE BLANKS,≤100,28
"1,621,211,201,473,750.00 ",OKTreasure.com,Oklahoma State Treasurer's Office,≤100,30
"18,356,619,353.00 ",The Academy of Natural Sciences,The Academy of Natural Sciences,≤100,6
"107,308,698,272,177.00 ",Gas Leaks Action,Gas Leaks Action,≤100,6
"579,929,718,814,187.00 ",Hospital Workers Rising,SEIU HEALTHCARE PENNSYLVANIA,≤100,4
"80,770,833,881.00 ",Eagles' Wings,EAGLES' WINGS MINISTRIES,≤100,52
"172,196,636,150,714.00 ","William F. Buckley, Jr. Program at Yale","William F. Buckley, Jr. Program",≤100,2
"111,145,264,118,195.00 ",Arizona For Better Medicaid,Arizona for Better Medicaid,≤100,1
"105,331,281,509,462.00 ",Congressman Jake LaTurner,Office of Congressman Jake LaTurner,≤100,4
"118,303,441,570,966.00 ",Homeowner Smart,NATIONAL ASSOCIATION OF REALTORS,≤100,3
"843,043,565,853,392.00 ",Covering Central Florida,PRIMARY CARE ACCESS NETWORK,≤100,11
"121,735,358,063.00 ",Yankee Institute,The Yankee Institute for Public Policy,≤100,11
"206,202,032,757,114.00 ",Nature and Culture International,NATURE AND CULTURE INTERNATIONAL,≤100,1
"502,151,103,244,047.00 ",Join RSD,RIVERSIDE COUNTY SHERIFFS DEP,≤100,4
"7,191,206,138.00 ",ASPCA,ASPCA,≤100,8
"15,503,839,732.00 ",Peter G. Peterson Foundation,Peter G. Peterson Foundation,≤100,9
"363,451,900,358,298.00 ",Phillips 66,Phillips 66 Company,≤100,1
"110,274,460,578,553.00 ",Pittsburgh Works,Pittsburgh Works Together,≤100,34
"157,849,334,030.00 ",SEIU Healthcare Pennsylvania,SEIU Healthcare Pennsylvania,≤100,5
"1,667,638,686,847,570.00 ",The Collective PAC,COLLECTIVE FUTURE,≤100,8
"186,805,048,171,120.00 ",U.S. LawShield,U.S. LawShield,≤100,7
"100,365,701,954,291.00 ",Money Saving ideas,Finance Observers Group,≤100,3
"278,876,378,889,211.00 ",Armenian Museum of America,"ARMENIAN MUSEUM OF AMERICA, INC.",≤100,1
"1,914,537,155,242,810.00 ",Life: Powered,Texas Public Policy Foundation,≤100,10
"102,558,709,307,230.00 ",Amazon Albany,Amazon Staten Island,≤100,18
"100,431,764,934,534.00 ",Office of State Treasurer David McRae,Office of the Mississippi State Treasurer,≤100,4
"830,890,360,316,751.00 ",Nick Hanauer,Civic Action,≤100,1
"59,354,250,876.00 ",The Pittsburgh Foundation,The Pittsburgh Foundation,≤100,2
"139,525,619,417,538.00 ",Congregation Emanu-El,"CONGREGATION EMANU-EL, THE",≤100,2
"82,223,469,060.00 ",ACN - Aid to the Church in Need,"AID TO THE CHURCH IN NEED, INC.",≤100,6
"107,925,603,976,843.00 ",Protect App-Based Drivers and Services,Protect App-Based Drivers and Services,≤100,2
"166,194,476,728,392.00 ",Center Street,"Hachette Book Group, Inc.",≤100,4
"24,499,197,332.00 ",Horizons Foundation,HORIZONS FOUNDATION,≤100,1
"108,028,728,590,880.00 ",CTLPod,POPULATION MEDIA CENTER INC,≤100,8
"662,962,894,077,729.00 ",The Well News,The Well News,≤100,8
"156,994,304,362,574.00 ",American Bridge 21st Century,AMERICAN BRIDGE 21ST CENTURY,≤100,1
"121,796,696,176.00 ",Pure Earth,"BLACKSMITH INSTITUTE, INC.",≤100,13
"156,474,368,333,576.00 ",Secure Democracy USA,SD USA,≤100,1
"221,890,358,218,748.00 ",Til Valhalla Project,These ads ran without a disclaimer,≤100,1
"586,402,784,803,665.00 ",OLÉ NewMexico,"OLE EDUCATION FUND, THE",≤100,14
"111,688,508,172,097.00 ",Stay Healthy Sunshine,"Treasure Coast Health Council, Inc dba Health Services Council of Southeast Florida",≤100,16
"114,351,251,909,317.00 ",MyBGE,BALTIMORE GAS & ELECTRIC COMPANY,≤100,4
"64,974,200,999.00 ",America-Israel Friendship League,AMERICA-ISRAEL FRIENDSHIP LEAGUE,≤100,8
"1,050,320,055,029,010.00 ",Outrider.org,OUTRIDER FOUNDATION INC,≤100,1
"227,594,571,444,676.00 ",Building New York's Best,"Carpenter Contractor Alliance of Metropolitan New York, Inc.",≤100,18
"101,423,451,721,775.00 ",Kansas Renewable Energy Coalition,Kansas Renewable Energy Coalition,≤100,12
"25,480,500,554.00 ",BRAC,These ads ran without a disclaimer,≤100,1
"106,970,462,044,665.00 ",Carbon Free Healthy Schools,Climate Jobs Illinois,≤100,3
"444,237,349,074,965.00 ",GPB News,Georgia Public Telecommunications Commission,≤100,13
"11,602,044,174.00 ",Independent Women's Forum,Independent Women's Forum,≤100,6
"601,249,690,070,354.00 ",forestproud,#forestproud | North American Forest Partnership,≤100,2
"303,374,266,418,976.00 ",AFPM,American Fuel & Petrochemical Manufacturers,≤100,18
"154,930,410,085.00 ","Zion Oil and Gas, Inc.","Zion OIl & Gas, Inc.",≤100,4
"104,861,071,996,581.00 ",NextGen PAC,NEXTGEN CLIMATE ACTION COMMITTEE,≤100,6
"61,265,398,450.00 ",AmeriCorps NCCC,Corporation for National and Community Service,≤100,1
"142,474,049,098,533.00 ",Robert Reich,Inequality Media Civic Action,≤100,24
"148,494,598,849.00 ",Milken Educator Awards,MILKEN FAMILY FOUNDATION,≤100,5
"102,232,311,550,486.00 ",Equally Informed Philly,"Resolve Philadelphia, Inc",≤100,35
"591,566,840,920,364.00 ",Citizens Energizing Michigan's Economy,Citizens Energizing Michigan's Economy,≤100,10
"145,600,045,454,810.00 ",Arlington ISD,Arlington ISD,≤100,1
"141,374,766,260.00 ",Kansas Policy Institute,KANSAS POLICY INSTITUTE,≤100,11
"830,162,603,716,633.00 ",Andy Beshear,Andy Beshear for Governor,≤100,15
